Time,High,Low,Open,Close,Volume
2017-03-05 19:30:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-05 19:35:00,1.7e-07,1.6e-07,1.6e-07,1.6e-07,0.00023414
2017-03-05 19:40:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.08738689
2017-03-05 19:45:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00191524
2017-03-05 19:50:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.0001471
2017-03-05 19:55:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00393513
2017-03-05 20:00:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-05 20:05:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.04830612
2017-03-05 20:10:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.10151016
2017-03-05 20:15:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00042593
2017-03-05 20:20:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.09484485
2017-03-05 20:25:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00410455
2017-03-05 20:30:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00159984
2017-03-05 20:35:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.02610248
2017-03-05 20:40:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-05 20:45:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-05 20:50:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,3.73008972
2017-03-05 20:55:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00900002
2017-03-05 21:00:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.01046899
2017-03-05 21:05:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0161516
2017-03-05 21:10:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.0022887
2017-03-05 21:15:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00112047
2017-03-05 21:20:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00021013
2017-03-05 21:25:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00850002
2017-03-05 21:30:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.01150224
2017-03-05 21:35:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.12622731
2017-03-05 21:40:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.20130232
2017-03-05 21:45:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00011773
2017-03-05 21:50:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.02419219
2017-03-05 21:55:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00025648
2017-03-05 22:00:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0
2017-03-05 22:05:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00503408
2017-03-05 22:10:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00011852
2017-03-05 22:15:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00331557
2017-03-05 22:20:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00425813
2017-03-05 22:25:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00216842
2017-03-05 22:30:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00097505
2017-03-05 22:35:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00019035
2017-03-05 22:40:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0016
2017-03-05 22:45:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00015566
2017-03-05 22:50:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.07990808
2017-03-05 22:55:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.3347923
2017-03-05 23:00:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-05 23:05:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00091122
2017-03-05 23:10:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00199009
2017-03-05 23:15:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00138108
2017-03-05 23:20:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,2.08e-06
2017-03-05 23:25:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00166911
2017-03-05 23:30:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.25890324
2017-03-05 23:35:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.00285057
2017-03-05 23:40:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00483056
2017-03-05 23:45:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.0992323
2017-03-05 23:50:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.01216334
2017-03-05 23:55:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.01401107
2017-03-06 00:00:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.27598592
2017-03-06 00:05:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00098658
2017-03-06 00:10:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.08065038
2017-03-06 00:15:00,1.7e-07,1.6e-07,1.6e-07,1.6e-07,0.1036887
2017-03-06 00:20:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.17828407
2017-03-06 00:25:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.20130181
2017-03-06 00:30:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.31293445
2017-03-06 00:35:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00969189
2017-03-06 00:40:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.43112818
2017-03-06 00:45:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.000784
2017-03-06 00:50:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00320931
2017-03-06 00:55:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00067963
2017-03-06 01:00:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00217999
2017-03-06 01:05:00,1.7e-07,1.6e-07,1.6e-07,1.6e-07,0.0091416
2017-03-06 01:10:00,1.7e-07,1.6e-07,1.6e-07,1.6e-07,0.16905149
2017-03-06 01:15:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00436081
2017-03-06 01:20:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-06 01:25:00,1.7e-07,1.6e-07,1.6e-07,1.6e-07,0.01763448
2017-03-06 01:30:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00081594
2017-03-06 01:35:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.01359077
2017-03-06 01:40:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.03850898
2017-03-06 01:45:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.00210582
2017-03-06 01:50:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.1444478
2017-03-06 01:55:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.04022792
2017-03-06 02:00:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.0003936
2017-03-06 02:05:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.20352416
2017-03-06 02:10:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00399
2017-03-06 02:15:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.96081557
2017-03-06 02:20:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.01193026
2017-03-06 02:25:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00082674
2017-03-06 02:30:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0
2017-03-06 02:35:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0
2017-03-06 02:40:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,5.4e-07
2017-03-06 02:45:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.01201748
2017-03-06 02:50:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.01190696
2017-03-06 02:55:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.01645212
2017-03-06 03:00:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.27366613
2017-03-06 03:05:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.02413383
2017-03-06 03:10:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00010169
2017-03-06 03:15:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.34546138
2017-03-06 03:20:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.03113195
2017-03-06 03:25:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0013408
2017-03-06 03:30:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.001983
2017-03-06 03:35:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.01094827
2017-03-06 03:40:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.13646205
2017-03-06 03:45:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00488889
2017-03-06 03:50:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.00169419
2017-03-06 03:55:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-06 04:00:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.00155556
2017-03-06 04:05:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.01992338
2017-03-06 04:10:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-06 04:15:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.02534717
2017-03-06 04:20:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-06 04:25:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00284631
2017-03-06 04:30:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00025501
2017-03-06 04:35:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.07971943
2017-03-06 04:40:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00137013
2017-03-06 04:45:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00109346
2017-03-06 04:50:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0010577
2017-03-06 04:55:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00136386
2017-03-06 05:00:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.0150429
2017-03-06 05:05:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00375372
2017-03-06 05:10:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.02190402
2017-03-06 05:15:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00046231
2017-03-06 05:20:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-06 05:25:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0002581
2017-03-06 05:30:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00062823
2017-03-06 05:35:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00050413
2017-03-06 05:40:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00016118
2017-03-06 05:45:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.03613418
2017-03-06 05:50:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,2e-08
2017-03-06 05:55:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.05522453
2017-03-06 06:00:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.000535
2017-03-06 06:05:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.02694593
2017-03-06 06:10:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,2.02237769
2017-03-06 06:15:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.10382551
2017-03-06 06:20:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00625609
2017-03-06 06:25:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0
2017-03-06 06:30:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00111784
2017-03-06 06:35:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.001
2017-03-06 06:40:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.20883672
2017-03-06 06:45:00,1.7e-07,1.6e-07,1.6e-07,1.6e-07,0.02607414
2017-03-06 06:50:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0
2017-03-06 06:55:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0
2017-03-06 07:00:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00109993
2017-03-06 07:05:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.0209713
2017-03-06 07:10:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-06 07:15:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.00063984
2017-03-06 07:20:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.01913739
2017-03-06 07:25:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00017
2017-03-06 07:30:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00205286
2017-03-06 07:35:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0
2017-03-06 07:40:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.01576104
2017-03-06 07:45:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,2e-08
2017-03-06 07:50:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,4.9e-07
2017-03-06 07:55:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.01595904
2017-03-06 08:00:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00821793
2017-03-06 08:05:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00016181
2017-03-06 08:10:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0
2017-03-06 08:15:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.12278887
2017-03-06 08:20:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00068
2017-03-06 08:25:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.02096063
2017-03-06 08:30:00,1.7e-07,1.6e-07,1.6e-07,1.6e-07,0.09226871
2017-03-06 08:35:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.01656559
2017-03-06 08:40:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.00681565
2017-03-06 08:45:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0001043
2017-03-06 08:50:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.01940834
2017-03-06 08:55:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00461004
2017-03-06 09:00:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.00432443
2017-03-06 09:05:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.02778299
2017-03-06 09:10:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.01009
2017-03-06 09:15:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.0018167
2017-03-06 09:20:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00018802
2017-03-06 09:25:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0
2017-03-06 09:30:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.10865123
2017-03-06 09:35:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-06 09:40:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00713999
2017-03-06 09:45:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.10761422
2017-03-06 09:50:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00233948
2017-03-06 09:55:00,1.7e-07,1.6e-07,1.6e-07,1.6e-07,0.0913315
2017-03-06 10:00:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0
2017-03-06 10:05:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.01682594
2017-03-06 10:10:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.01136735
2017-03-06 10:15:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.0
2017-03-06 10:20:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.17019204
2017-03-06 10:25:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.12590881
2017-03-06 10:30:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00021817
2017-03-06 10:35:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,5.5e-07
2017-03-06 10:40:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.07011053
2017-03-06 10:45:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00054725
2017-03-06 10:50:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,8e-08
2017-03-06 10:55:00,1.7e-07,1.6e-07,1.6e-07,1.6e-07,0.02009125
2017-03-06 11:00:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.00113264
2017-03-06 11:05:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00155651
2017-03-06 11:10:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,4e-06
2017-03-06 11:15:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00043832
2017-03-06 11:20:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00761184
2017-03-06 11:25:00,1.7e-07,1.6e-07,1.6e-07,1.6e-07,0.0862036
2017-03-06 11:30:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,1.148693
2017-03-06 11:35:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00010836
2017-03-06 11:40:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.03261932
2017-03-06 11:45:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00030523
2017-03-06 11:50:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.01121107
2017-03-06 11:55:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.03258223
2017-03-06 12:00:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.00078265
2017-03-06 12:05:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,2.43e-06
2017-03-06 12:10:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00069715
2017-03-06 12:15:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.0
2017-03-06 12:20:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,0.00304693
2017-03-06 12:25:00,1.6e-07,1.6e-07,1.6e-07,1.6e-07,0.00031263
2017-03-06 12:30:00,1.7e-07,1.6e-07,1.6e-07,1.7e-07,0.00065817
2017-03-06 12:35:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,6.3e-07
2017-03-06 12:40:00,1.7e-07,1.6e-07,1.7e-07,1.6e-07,1.08825828
2017-03-06 12:45:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.01731792
2017-03-06 12:50:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.03281541
2017-03-06 12:55:00,1.7e-07,1.6e-07,1.7e-07,1.7e-07,0.02305774
2017-03-06 13:00:00,1.7e-07,1.7e-07,1.7e-07,1.7e-07,0.00100017
