,period,v_t,v_hi,v_lo,bid,ask
6923,2017-09-05 19:24:00+00:00,489000.0,489000.0,489000.0,488100.0,489000.0
6924,2017-09-05 19:25:00+00:00,489999.0,489999.0,489999.0,489797.0,489999.0
6925,2017-09-05 19:26:00+00:00,489999.0,489999.0,489999.0,489847.0,489999.0
6926,2017-09-05 19:27:00+00:00,489756.0,489756.0,489756.0,489756.0,490069.0
6927,2017-09-05 19:28:00+00:00,491000.0,491000.0,491000.0,490313.0,490900.0
6928,2017-09-05 19:29:00+00:00,490229.0,490229.0,490229.0,490229.0,490885.0
6929,2017-09-05 19:30:00+00:00,489929.0,489929.0,489929.0,489686.0,490242.0
6930,2017-09-05 19:31:00+00:00,490501.0,490501.0,490501.0,490501.0,490551.0
6931,2017-09-05 19:32:00+00:00,490867.0,490867.0,490867.0,490868.0,490900.0
6932,2017-09-05 19:33:00+00:00,491200.0,491200.0,491200.0,490966.0,491350.0
6933,2017-09-05 19:34:00+00:00,491500.0,491500.0,491500.0,491290.0,491500.0
6934,2017-09-05 19:35:00+00:00,491637.0,491637.0,491637.0,491505.0,491618.0
6935,2017-09-05 19:36:00+00:00,491806.0,491806.0,491806.0,491816.0,492000.0
6936,2017-09-05 19:37:00+00:00,491689.0,491689.0,491689.0,490954.0,491575.0
6937,2017-09-05 19:38:00+00:00,491000.0,491000.0,491000.0,490983.0,491000.0
6938,2017-09-05 19:39:00+00:00,491283.0,491283.0,491283.0,491002.0,491283.0
6939,2017-09-05 19:40:00+00:00,491760.0,491760.0,491760.0,491001.0,491283.0
6940,2017-09-05 19:41:00+00:00,491170.0,491170.0,491170.0,491121.0,491758.0
6941,2017-09-05 19:42:00+00:00,490800.0,490800.0,490800.0,490750.0,490800.0
6942,2017-09-05 19:43:00+00:00,491170.0,491170.0,491170.0,491070.0,491680.0
6943,2017-09-05 19:44:00+00:00,491000.0,491000.0,491000.0,490801.0,490997.0
6944,2017-09-05 19:45:00+00:00,491000.0,491000.0,491000.0,490811.0,490997.0
6945,2017-09-05 19:46:00+00:00,491000.0,491000.0,491000.0,490802.0,491000.0
6946,2017-09-05 19:47:00+00:00,491020.0,491020.0,491020.0,491020.0,491170.0
6947,2017-09-05 19:48:00+00:00,491760.0,491760.0,491760.0,491404.0,491760.0
6948,2017-09-05 19:49:00+00:00,490882.0,490882.0,490882.0,491501.0,491759.0
6949,2017-09-05 19:50:00+00:00,491899.0,491899.0,491899.0,491510.0,491899.0
6950,2017-09-05 19:51:00+00:00,491900.0,491900.0,491900.0,491601.0,491900.0
6951,2017-09-05 19:52:00+00:00,491970.0,491970.0,491970.0,491612.0,491970.0
6952,2017-09-05 19:53:00+00:00,491060.0,491060.0,491060.0,491172.0,491900.0
6953,2017-09-05 19:54:00+00:00,490530.0,490530.0,490530.0,490530.0,491170.0
6954,2017-09-05 19:55:00+00:00,490329.0,490329.0,490329.0,490100.0,490329.0
6955,2017-09-05 19:56:00+00:00,490524.0,490524.0,490524.0,490103.0,490692.0
6956,2017-09-05 19:57:00+00:00,490051.0,490051.0,490051.0,490042.0,490050.0
6957,2017-09-05 19:58:00+00:00,489450.0,489450.0,489450.0,489450.0,489999.0
6958,2017-09-05 19:59:00+00:00,489056.0,489056.0,489056.0,488756.0,489056.0
6959,2017-09-05 20:00:00+00:00,489760.0,489760.0,489760.0,489050.0,489760.0
6960,2017-09-05 20:01:00+00:00,489049.0,489049.0,489049.0,488724.0,489585.0
6961,2017-09-05 20:02:00+00:00,488558.0,488558.0,488558.0,488000.0,488558.0
6962,2017-09-05 20:03:00+00:00,487600.0,487600.0,487600.0,487600.0,488133.0
